scripts,score,timeline,timeline_ori
莫德里奇任意球搓传到门前，被解围,,28,上半场28'5''
克罗地亚前场再攻，传球到门前,,28,上半场28'14''
球进了，1-1！！！,,28,上半场28'20''
佩里西奇！！！！！,,28,上半场28'23''
克罗地亚前场右路的传中，维达背身拿球，回传佩里西奇，面对坎特的上抢，,,29,上半场29'47''
上半场30分钟，比分1-1，两个进球全部来自克罗地亚人！！,,30,上半场30'9''
格里兹曼中场拿球，转身直塞身后,,30,上半场30'51''
弗尔萨利科转身回防，抢在吉鲁之前将球控制,,31,上半场31'8''
回传给到门将苏巴西奇，再给布罗佐维奇！,,31,上半场31'21''
再给拉基蒂奇，长传前场右路找佩里西奇,,31,上半场31'42''
传球力量太大，佩里西奇和埃尔南德斯争抢,,32,上半场32'3''
佩里西奇身后推人犯规，球也出了边线！！,,32,上半场32'18''
莫德里奇中场拿球，过顶长传找曼朱基奇,,32,上半场32'47''
曼朱基奇的头球摆渡给到佩里西奇,,32,上半场32'58''
佩里西奇右路拿球，内切传中,,33,上半场33'6''
洛里斯在队友的掩护下，出击将球拿到！！,,33,上半场33'19''
法国队前场进攻，赢得右侧角球！！,,33,上半场33'28''
格里兹曼主罚，开出到前点,,33,上半场33'42''
马图伊迪的头球轰门，混战中，球出底线,,34,上半场34'0''
法国队队员投诉对方手球，裁判示意稍等,,34,上半场34'25''
看看视频裁判组的结果，视频裁判组来自意大利！,,34,上半场34'54''
主裁判皮塔纳示意，自己需要到场边看看视频！！！,,35,上半场35'11''
皮塔纳来到场边看录像，看了好几遍，回来了,,35,上半场35'47''
看看如何判罚，给了法国队点球！！,,35,上半场35'59''
这是世界杯决赛历史上，第一次通过视频回看，判罚点球！,,36,上半场36'41''
莫德里奇上前和皮塔纳沟通，但结果无法更改,,37,上半场37'4''
格里兹曼来主罚！！,,37,上半场37'10''
球进了，2-1！！！,,38,上半场38'0''
格里兹曼利用假动作骗过苏巴西奇，苏巴西奇扑向自己的左侧，格里兹曼轻松,,38,上半场38'45''
这是格里兹曼本届世界杯的第4球！！！,,39,上半场39'3''
克罗地亚前场进攻，佩里西奇左路拿球,,39,上半场39'38''
强突内切，横传门前！！,,39,上半场39'52''
雷比奇插上侧身一脚推射，没能踢上力量,,40,上半场40'7''
球被洛里斯倒地揽入怀中！！,,40,上半场40'19''
雷比奇右路拿球，准备起速,,40,上半场40'46''
埃尔南德斯的上抢犯规！！,,40,上半场40'53''
埃尔南德斯被主裁判出示了黄牌警告！！,,41,上半场41'5''
这也是本场第二张黄牌，全部给到了法国队！！,,41,上半场41'19''
莫德里奇前场右路拿球，内切横传跟进的拉基蒂奇,,41,上半场41'48''
拉基蒂奇中路强突，和坎特接触后倒地,,42,上半场42'1''
裁判示意不犯规，球被坎特大脚解围,,42,上半场42'15''
乌姆蒂蒂中场防守曼朱基奇，推人犯规！！,,42,上半场42'40''
克罗地亚前场右路的任意球机会！！,,43,上半场43'2''
莫德里奇任意球斜传到后点,,43,上半场43'9''
佩里西奇的头球，直上直下,,43,上半场43'23''
瓦拉内头球解围，没能顶远,,43,上半场43'32''
到了洛夫伦脚下，拔脚怒射，被挡出底线,,43,上半场43'52''
克罗地亚的左侧角球，开出到禁区,,43,上半场43'58''
混战中，球再被法国队解围出底线！！,,44,上半场44'6''
克罗地亚继续角球！！开出到门前,,44,上半场44'21''
洛夫伦和乌姆蒂蒂相撞，乌姆蒂蒂受伤倒地,,44,上半场44'40''
球被法国队解围出底线，又是角球,,44,上半场44'50''
乌姆蒂蒂倒在禁区内，比赛暂时中断！！,,45,上半场45'3''
队医进场检查伤情！！,,45,上半场45'25''
乌姆蒂蒂出场治疗，克罗地亚继续角球,,45,上半场45'32''
左侧角球开出到前点，维达的头球轰门，顶偏！！,,45,上半场45'48''
上半场比赛进入伤停补时，补时3分钟！！,,45+1,上半场46'29''
克罗地亚后场的过顶长传到前场,,45+1,上半场46'52''
曼朱基奇胸部停球，想给队友,,45+2,上半场47'4''
可惜停大了，球被洛里斯出击拿到！！,,45+2,上半场47'14''
莫德里奇前场右路拿球，内切遭遇坎特和马图伊迪的夹击,,45+2,上半场47'45''
摔倒在地，裁判吹罚了马图伊迪的犯规！！,,45+3,上半场48'5''
莫德里奇快发任意球，斜传到禁区,,45+3,上半场48'14''
曼朱基奇没能顶到，球被解围到边路,,45+3,上半场48'29''
姆巴佩右路拿球，准备反击，斯特里尼奇的犯规！,,45+3,上半场48'49''
下半场比赛开始！！！,,46,下半场1''
法国队开球，从右向左进攻！！！,,46,下半场10''
2018俄罗斯世界杯决赛的下半场，你支持谁呢？？？,,46,下半场34''
莫德里奇中场抢断，拿球反击,,46,下半场55''
过了中线，分球右侧雷比奇,,47,下半场1'29''
雷比奇再给边路上来的弗尔萨利科,,47,下半场1'38''
弗尔萨利科的横传球，被解围,,47,下半场1'45''
法国队的反击，长传找到吉鲁,,47,下半场1'54''
吉鲁禁区右侧拿球，横传给中间的格里兹曼,,48,下半场2'9''
格里兹曼调整一下，起脚远射，打偏！！,,48,下半场2'23''
克罗地亚前场再攻，佩里西奇的打门,,48,下半场2'44''
洛里斯倒地一扑，将球挡出了底线,,48,下半场2'54''
克罗地亚的右侧角球！！,,49,下半场3'2''
角球开出到门前，混战中，雷比奇的捅射，打偏！！,,49,下半场3'19''
博格巴的失误，克罗地亚的反击！！,,49,下半场3'59''
布罗佐维奇的分球找曼朱基奇,,50,下半场4'8''
瓦拉内回防拦截，可惜没停好,,50,下半场4'14''
